Method,CTD_DDA_AUC,CTD_DDA_AUC_STD,CTD_DDA_ACC,CTD_DDA_ACC_STD,CTD_DDA_F1,CTD_DDA_F1_STD,NDFRT_DDA_AUC,NDFRT_DDA_AUC_STD,NDFRT_DDA_ACC,NDFRT_DDA_ACC_STD,NDFRT_DDA_F1,NDFRT_DDA_F1_STD,DrugBank_DDI_AUC,DrugBank_DDI_AUC_STD,DrugBank_DDI_ACC,DrugBank_DDI_ACC_STD,DrugBank_DDI_F1,DrugBank_DDI_F1_STD,STRING_PPI_AUC,STRING_PPI_AUC_STD,STRING_PPI_ACC,STRING_PPI_ACC_STD,STRING_PPI_F1,STRING_PPI_F1_STD
Laplacian,0.856,0.004,0.793,0.003,0.802,0.003,0.930,0.003,0.917,0.004,0.921,0.004,0.796,0.002,0.720,0.002,0.729,0.002,0.639,0.021,0.596,0.016,0.586,0.017
SVD,0.936,0.002,0.855,0.002,0.854,0.002,0.779,0.003,0.707,0.004,0.700,0.005,0.919,0.001,0.837,0.001,0.837,0.001,0.867,0.001,0.794,0.001,0.790,0.001
GF,0.884,0.004,0.808,0.004,0.805,0.004,0.720,0.006,0.660,0.006,0.655,0.007,0.882,0.003,0.802,0.003,0.81,0.003,0.817,0.005,0.746,0.005,0.747,0.005
HOPE,0.951,0.001,0.886,0.002,0.887,0.002,0.949,0.001,0.928,0.002,0.931,0.002,0.923,0.001,0.844,0.002,0.846,0.002,0.839,0.001,0.764,0.001,0.764,0.001
GraRep,0.960,0.001,0.899,0.002,0.900,0.002,0.963,0.001,0.931,0.002,0.934,0.002,0.925,0.001,0.845,0.001,0.846,0.001,0.894,0.001,0.823,0.001,0.822,0.001
DeepWalk,0.929,0.002,0.866,0.002,0.864,0.002,0.783,0.004,0.710,0.004,0.709,0.005,0.921,0.001,0.840,0.002,0.842,0.002,0.884,0.001,0.813,0.002,0.814,0.002
node2vec,0.911,0.002,0.838,0.002,0.835,0.002,0.819,0.005,0.742,0.005,0.741,0.006,0.902,0.001,0.819,0.001,0.819,0.001,0.828,0.003,0.758,0.003,0.756,0.003
struc2vec,0.965,0.001,0.903,0.002,0.903,0.002,0.958,0.001,0.913,0.002,0.912,0.002,0.904,0.001,0.826,0.002,0.83,0.002,0.909,0.001,0.838,0.001,0.841,0.001
LINE,0.965,0.001,0.904,0.001,0.904,0.001,0.962,0.002,0.934,0.002,0.935,0.001,0.905,0.002,0.825,0.002,0.829,0.002,0.859,0.003,0.788,0.003,0.795,0.003
SDNE,0.935,0.010,0.863,0.012,0.861,0.013,0.944,0.004,0.896,0.007,0.897,0.007,0.911,0.006,0.833,0.007,0.838,0.006,0.884,0.008,0.813,0.009,0.814,0.009
GAE,0.937,0.001,0.857,0.002,0.856,0.002,0.813,0.007,0.735,0.006,0.730,0.007,0.917,0.001,0.836,0.001,0.840,0.001,0.900,0.001,0.827,0.001,0.829,0.002